date,volume_usd,tvl_usd,active_users,tx_count
2023-09-21,74228980.89,2404000000,146,1469
2023-09-22,74791666.77,2546000000,137,1504
2023-09-23,48680060.04,2489000000,113,971
2023-09-24,66601102.52,2475000000,121,1471
2023-09-25,75633604.61,2508000000,122,1368
2023-09-26,73944059.62,2506000000,122,1195
2023-09-27,75300880.2,2536000000,114,1238
2023-09-28,109353626.32,2504000000,162,1582
2023-09-29,44811120.85,2494000000,134,1275
2023-09-30,43132523.2,2509000000,116,1015
2023-10-01,33691165.53,2507000000,123,1151
2023-10-02,69077020.54,2553000000,126,1389
2023-10-03,38883586.65,2494000000,125,1274
2023-10-04,34642883.49,2461000000,132,1313
2023-10-05,50054369.63,2475000000,139,1361
2023-10-06,56512727.33,2448000000,115,1607
2023-10-07,20914573.52,2459000000,116,1102
2023-10-08,110259489.94,2458000000,131,1476
2023-10-09,74455481.91,2457000000,151,2062
2023-10-10,115409833.09,2375000000,139,1600
2023-10-11,75065112.82,2094000000,135,1447
2023-10-12,91771474.75,2044000000,136,1524
2023-10-13,118185723.47,2036000000,130,1650
2023-10-14,30293408.35,2083000000,129,1089
2023-10-15,42760143.47,2077000000,113,1168
2023-10-16,184119281.09,2082000000,138,1795
2023-10-17,78218389.98,2098000000,129,1545
2023-10-18,67655921.06,2059000000,128,1398
2023-10-19,58360771.39,2006000000,131,1283
2023-10-20,120685467.87,2014000000,128,1644
2023-10-21,36581737.09,2023000000,110,1277
2023-10-22,51732001.54,2025000000,122,1379
2023-10-23,124636809.73,2081000000,141,1782
2023-10-24,180711605.69,2166000000,179,2446
2023-10-25,90363056.77,2178000000,148,1835
2023-10-26,103916464.58,2189000000,145,1702
2023-10-27,71743244.14,2195000000,127,1189
2023-10-28,44663548.26,2177000000,136,1207
2023-10-29,36840800.95,2191000000,116,1030
2023-10-30,76131082.74,2219000000,110,1272
2023-10-31,72883809.17,2263000000,133,1379
2023-11-01,75075793.92,2218000000,134,1481
2023-11-02,198696339.49,2287000000,423,4384
2023-11-03,109940152.15,2243000000,216,2290
2023-11-04,41771676.47,2333000000,163,2008
2023-11-05,77915380.12,2348000000,185,2021
2023-11-06,87010054.94,2358000000,175,1759
2023-11-07,88814997.17,2371000000,165,1732
2023-11-08,81863956.43,2347000000,140,1438
2023-11-09,126883068.67,2352000000,173,2636
2023-11-10,136418844.65,2428000000,185,2681
2023-11-11,76639730.66,2468000000,170,1933
2023-11-12,64324116.03,2463000000,153,2338
2023-11-13,104987083.48,2481000000,132,1921
2023-11-14,94230240.24,2404000000,168,1965
2023-11-15,147175540.24,2374000000,152,2007
2023-11-16,106479021.58,2511000000,162,2235
2023-11-17,81211512.96,2405000000,144,1947
2023-11-18,89621266.01,2404000000,146,2105
2023-11-19,50164333.11,2401000000,142,1740
